0,sturgeot,sturgeot@gmail.com,F1shApp!,64
1,MrCrabby,crabbyfishlover@fishy.com,Fi$hL0veR42,2
2,PrlCtchr,pearlcatcherfish@gmail.com,PearlHunt88,32
3,FishLvr,fishlover@mail.com,F!shyDreaM7,18
4,MermaidQ,mermaidqueen@ocean.net,Saltw@ter66,2
5,PiranhaC,piranhaclub@yahoo.com,ToothyF!sh,2
6,ClownfishN,clownfishnation@seaworld.com,JustKeepSwimming11,2
7,GoldfishG,glitterygoldfish@yahoo.com,SwimmingG0ld!,2
8,AquaLife,aqualifeorg@fish.com,AquaL!fe123,4
9,FinFriends,finfriendsclub@gmail.com,F!nFrienDs24,4
10,BlueSeaOrg,blueseafoundation@gmail.com,BluESeA567,4
11,FishFacts,fishfactsnetwork@yahoo.com,FishyFacts99,2
12,TheFishTank,thefishtankforum@outlook.com,TankMaster2023,2
13,FishyTales,fishytalesblog@wordpress.com,Stor!es2021,2
14,FishGuide,fishguideexpert@gmail.com,ExpeRtF!shy,18
15,SplashSquad,splashsquad2022@outlook.com,SplashSquad22,1
16,FishyKids,fishykids12@yahoo.com,Fi$hyKidz,1
17,AquaKids,aquakidsrule@gmail.com,AquaKidz2022,1
18,TheFishReport,fishreportinfo@news.com,FishyNews2023,4
19,FishyTimes,fishytimesmagazine@journalist.com,FishyTimes23,4
20,FishyDeals,fishydealsstore@gmail.com,FishyDeals55,4
21,FishH8r,ihatefish@gmail.com,Mean2Fish,2
